#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 200160:2906 | 08/02/12 23:44:23 | 17   | 17   | 2377837.940    | 2272426.711   |
| 200161:2906 | 08/02/12 23:54:02 | 110  | 110  | 14393416.532   | 12853951.486  |
| 200174:2908 | 08/03/12 05:18:52 | 4    | 4    | 556099.783     | 395431.541    |
| 200177:2908 | 08/03/12 05:28:38 | 56   | 56   | 7425588.923    | 7012380.543   |
| 200178:2908 | 08/03/12 05:54:00 | 38   | 38   | 4851519.901    | 4679649.677   |
| 200180:2908 | 08/03/12 06:15:03 | 18   | 18   | 2229695.230    | 2176829.445   |
| 200186:2908 | 08/03/12 06:49:24 | 22   | 22   | 2561668.121    | 2418526.212   |
| 200188:2908 | 08/03/12 07:08:19 | 344  | 344  | 35305107.939   | 34806038.340  |
| 200190:2908 | 08/03/12 09:31:48 | 856  | 856  | 63773219.433   | 62909133.519  |
| 200229:2911 | 08/04/12 04:40:07 | 614  | 614  | 50159528.647   | 49394476.707  |
| 200243:2912 | 08/04/12 11:31:00 | 69   | 69   | 9777638.551    | 9492098.934   |
| 200244:2912 | 08/04/12 12:05:48 | 611  | 611  | 68332022.799   | 67233381.602  |
| 200245:2912 | 08/04/12 16:09:41 | 352  | 352  | 29155037.683   | 28888327.683  |
| 200368:2918 | 08/06/12 15:09:29 | 109  | 109  | 10439052.780   | 10251100.583  |
| 200369:2918 | 08/06/12 15:55:44 | 675  | 675  | 52857918.465   | 52281263.356  |
| 200381:2920 | 08/07/12 01:07:41 | 184  | 184  | 25056787.472   | 24594542.907  |
| 200466:2926 | 08/07/12 17:22:56 | 141  | 141  | 6046353.321    | 5922629.591   |
| 200473:2927 | 08/07/12 21:31:35 | 1213 | 1213 | 100710700.759  | 99732950.247  |
| 200491:2928 | 08/08/12 08:19:18 | 317  | 317  | 40242288.358   | 39499042.545  |
| 200515:2929 | 08/08/12 16:04:45 | 87   | 87   | 12434191.013   | 12044685.968  |
| 200519:2929 | 08/08/12 16:58:03 | 735  | 735  | 76595618.678   | 75554120.834  |
| 200525:2932 | 08/09/12 01:37:07 | 896  | 896  | 96989395.069   | 95460795.780  |
| 200532:2932 | 08/09/12 07:38:00 | 37   | 37   | 2922389.405    | 2897418.934   |
| 200599:2934 | 08/09/12 19:27:52 | 61   | 61   | 8880464.271    | 8547969.010   |
| 200600:2934 | 08/09/12 19:55:16 | 1115 | 1115 | 111119866.377  | 109662621.081 |
| 200961:2974 | 08/15/12 06:51:14 | 115  | 115  | 808958.153     | 803822.946    |
| 200976:2975 | 08/15/12 12:04:38 | 71   | 71   | 3355171.130    | 3268285.774   |
| 200990:2976 | 08/15/12 15:49:46 | 69   | 69   | 9338249.317    | 8946243.613   |
| 200991:2976 | 08/15/12 16:20:56 | 1033 | 1033 | 98862227.142   | 97298218.788  |
| 200992:2976 | 08/15/12 23:15:21 | 578  | 578  | 35982908.848   | 35732121.607  |
| 201062:2978 | 08/16/12 11:09:00 | 191  | 191  | 26995102.173   | 26198323.548  |
| 201097:2980 | 08/16/12 20:26:26 | 407  | 407  | 51902775.322   | 50518669.851  |
| 201114:2981 | 08/17/12 02:22:00 | 14   | 14   | 2168107.605    | 1953578.295   |
| 201115:2981 | 08/17/12 02:31:36 | 73   | 73   | 10578809.653   | 10172703.169  |
| 201159:2983 | 08/17/12 11:42:55 | 142  | 142  | 21087740.204   | 19708866.630  |
| 201164:2983 | 08/17/12 12:42:06 | 409  | 409  | 48869927.167   | 47855105.780  |
| 201168:2983 | 08/17/12 15:33:50 | 725  | 725  | 61756629.572   | 60970373.041  |
| 201173:2983 | 08/17/12 20:38:34 | 584  | 584  | 35641750.219   | 35387568.354  |
| 201174:2983 | 08/18/12 00:31:26 | 447  | 447  | 21591605.411   | 21396042.968  |
| 201191:2984 | 08/18/12 06:10:04 | 1290 | 1290 | 136816910.351  | 134246086.792 |
| 201193:2984 | 08/18/12 14:43:47 | 19   | 19   | 1335845.410    | 1288976.858   |
| 201196:2984 | 08/18/12 15:01:47 | 811  | 811  | 47275271.260   | 46834483.379  |
| 201197:2984 | 08/18/12 20:30:06 | 23   | 23   | 1113014.691    | 1060895.735   |
| 201202:2984 | 08/18/12 22:22:14 | 437  | 437  | 17394889.710   | 17211838.842  |
| 201229:2987 | 08/19/12 09:30:43 | 69   | 69   | 10593102.587   | 10324817.078  |
| 201278:2991 | 08/20/12 14:36:33 | 2089 | 2089 | 171747295.524  | 169622498.342 |
| 201554:2995 | 08/22/12 22:36:24 | 55   | 55   | 8304445.723    | 8008815.293   |
| 201602:2996 | 08/23/12 12:32:17 | 555  | 555  | 69838358.740   | 67958916.502  |
| 201611:2997 | 08/23/12 18:47:05 | 96   | 96   | 14941779.742   | 13953781.118  |
| 201613:2997 | 08/23/12 19:43:32 | 636  | 636  | 75537251.899   | 74528636.393  |
| 201624:2998 | 08/24/12 04:36:17 | 157  | 157  | 24983334.898   | 23804420.150  |
| 201625:2998 | 08/24/12 07:14:50 | 724  | 724  | 72544560.788   | 71726728.898  |
| 201657:3000 | 08/24/12 19:38:05 | 40   | 40   | 6446136.767    | 5909838.745   |
| 201658:3000 | 08/24/12 20:06:50 | 283  | 283  | 38635050.940   | 37864213.467  |
| 201668:3002 | 08/25/12 05:37:29 | 80   | 80   | 12545474.304   | 11900751.262  |
| 201669:3002 | 08/25/12 06:12:02 | 160  | 160  | 22491091.934   | 21913268.857  |
| 201671:3002 | 08/25/12 07:20:16 | 990  | 990  | 95292350.884   | 94007983.875  |
| 201678:3002 | 08/25/12 14:13:24 | 120  | 120  | 8360116.627    | 8275182.347   |
| 201679:3002 | 08/25/12 15:04:49 | 474  | 474  | 28772673.017   | 28481275.703  |
| 201692:3003 | 08/25/12 21:51:22 | 101  | 101  | 15642325.248   | 15111533.150  |
| 201705:3005 | 08/26/12 05:06:34 | 121  | 121  | 17876899.599   | 17300346.420  |
| 201706:3005 | 08/26/12 05:57:17 | 62   | 62   | 8346588.994    | 8073578.741   |
| 201707:3005 | 08/26/12 06:26:52 | 939  | 939  | 92277119.438   | 91215113.227  |
| 201708:3005 | 08/26/12 12:49:10 | 79   | 79   | 5757316.540    | 5713143.985   |
| 201718:3006 | 08/26/12 18:10:49 | 51   | 51   | 7605852.424    | 7410316.339   |
| 201727:3007 | 08/26/12 20:56:00 | 119  | 119  | 17508996.352   | 16941850.197  |
| 201729:3007 | 08/26/12 22:06:04 | 232  | 232  | 29128182.692   | 28686479.983  |
| 201794:3009 | 08/27/12 19:02:44 | 37   | 37   | 5884572.991    | 5651520.413   |
| 201802:3011 | 08/27/12 22:12:06 | 224  | 224  | 32934725.874   | 31534796.957  |
| 201816:3011 | 08/28/12 02:10:19 | 155  | 155  | 15793872.239   | 15588700.491  |
| 201817:3011 | 08/28/12 03:13:38 | 274  | 274  | 24498340.919   | 24138064.819  |
| 201818:3011 | 08/28/12 05:05:10 | 1    | 1    | 82360.716      | 80227.575     |
| 201819:3011 | 08/28/12 05:12:55 | 240  | 240  | 18512121.714   | 18272770.431  |
| 201824:3011 | 08/28/12 06:50:23 | 487  | 487  | 31279116.986   | 31020184.039  |
| 202012:3016 | 08/30/12 20:21:04 | 30   | 30   | 4221914.311    | 3307435.950   |
| 202013:3016 | 08/30/12 20:36:44 | 53   | 53   | 7057848.021    | 6204287.515   |
| 202014:3016 | 08/30/12 21:03:03 | 187  | 187  | 21766625.030   | 19784762.602  |
| 202016:3016 | 08/30/12 22:27:00 | 998  | 998  | 78660178.278   | 77983313.994  |
| 202044:3018 | 08/31/12 15:05:04 | 379  | 379  | 48393988.270   | 47320142.392  |
| 202045:3018 | 08/31/12 17:38:56 | 802  | 802  | 70956650.016   | 70101494.875  |
| 202054:3018 | 08/31/12 23:55:48 | 621  | 621  | 36865936.496   | 36626356.487  |
| 202060:3019 | 09/01/12 07:35:49 | 853  | 853  | 91049512.690   | 89800334.218  |
| 202074:3020 | 09/01/12 21:25:18 | 109  | 109  | 16040829.968   | 15509814.096  |
| 202075:3020 | 09/01/12 22:12:39 | 609  | 609  | 67263414.214   | 66330684.053  |
| 202084:3021 | 09/02/12 05:09:43 | 153  | 153  | 21270640.321   | 20648125.022  |
| 202087:3021 | 09/02/12 06:24:11 | 1085 | 1085 | 100051298.184  | 98754847.297  |
| 202088:3021 | 09/02/12 13:32:00 | 286  | 286  | 17914596.361   | 17750702.044  |
| 202093:3021 | 09/02/12 15:42:54 | 357  | 357  | 18519301.346   | 18378996.779  |
| 202116:3023 | 09/02/12 23:26:50 | 2    | 2    | 309714.511     | 292298.172    |
| 202178:3025 | 09/03/12 16:29:55 | 1465 | 1465 | 129810149.966  | 128289842.550 |
| 202205:3027 | 09/04/12 10:20:49 | 21   | 21   | 2897833.469    | 2816386.745   |
| 202209:3027 | 09/04/12 10:37:36 | 140  | 140  | 17664503.216   | 17375908.202  |
| 202237:3029 | 09/04/12 19:49:54 | 1021 | 1021 | 116590493.110  | 114788686.778 |
| 202272:3032 | 09/05/12 11:58:46 | 1274 | 1274 | 110562275.342  | 109238820.410 |
| 202299:3033 | 09/06/12 07:13:23 | 476  | 476  | 61906262.681   | 60587775.941  |
| 202305:3033 | 09/06/12 14:43:24 | 319  | 319  | 22268590.924   | 22107307.360  |
| 202314:3034 | 09/06/12 19:29:59 | 208  | 208  | 32182308.295   | 31270333.146  |
| 202328:3036 | 09/07/12 02:01:07 | 557  | 557  | 72531808.875   | 70947070.031  |
| 202333:3036 | 09/07/12 05:57:24 | 235  | 235  | 23270232.683   | 23036837.397  |
| 202389:3039 | 09/07/12 19:53:18 | 116  | 116  | 17861136.826   | 17306114.430  |
| 202469:3045 | 09/08/12 18:25:07 | 263  | 263  | 38294311.887   | 37395450.683  |
| 202472:3045 | 09/08/12 20:27:14 | 110  | 110  | 13349327.057   | 13086683.689  |
| 202477:3045 | 09/08/12 21:27:13 | 149  | 149  | 16187674.627   | 15872775.029  |
| 202478:3045 | 09/08/12 22:27:02 | 1229 | 1229 | 95286791.998   | 94367835.319  |
| 202504:3047 | 09/09/12 15:27:41 | 1606 | 1606 | 143036455.253  | 141127686.240 |
| 202972:3067 | 09/15/12 16:23:39 | 535  | 535  | 57533658.672   | 56827890.917  |
| 202973:3067 | 09/15/12 20:19:57 | 1397 | 1397 | 87836864.441   | 87170782.223  |
| 203002:3071 | 09/16/12 16:10:07 | 1496 | 1496 | 139390431.195  | 137333044.150 |
| 203709:3087 | 09/26/12 10:34:10 | 121  | 121  | 738184.678     | 730738.946    |
| 203742:3102 | 09/27/12 07:38:02 | 29   | 29   | 650916.087     | 639107.725    |
| 203777:3108 | 09/28/12 04:02:15 | 11   | 11   | 813976.915     | 807749.995    |
| 203830:3109 | 09/28/12 14:42:04 | 101  | 101  | 6436278.276    | 6289910.600   |
| 203832:3109 | 09/28/12 15:24:30 | 11   | 11   | 667952.014     | 602326.616    |
| 203833:3109 | 09/28/12 15:33:54 | 126  | 126  | 7214417.555    | 7083635.016   |
| 203834:3109 | 09/28/12 16:27:57 | 40   | 40   | 2156263.704    | 2104582.891   |
| 203835:3109 | 09/28/12 16:47:57 | 356  | 356  | 16999094.780   | 16818838.094  |
| 203853:3110 | 09/29/12 02:30:55 | 101  | 101  | 11630787.664   | 11494009.267  |
| 203894:3113 | 09/30/12 01:23:28 | 1232 | 1232 | 101635832.132  | 100641988.359 |
| 203909:3114 | 09/30/12 12:25:06 | 298  | 298  | 41083689.316   | 39655870.700  |
| 203912:3114 | 09/30/12 14:34:51 | 1311 | 1311 | 105576117.572  | 104589619.593 |
| 203987:3121 | 10/01/12 22:36:16 | 1007 | 1007 | 83723069.109   | 82969491.430  |
| 203992:3121 | 10/02/12 05:28:26 | 15   | 15   | 939894.157     | 817841.940    |
| 203994:3121 | 10/02/12 05:39:50 | 419  | 419  | 23530558.847   | 23273578.821  |
| 204100:3124 | 10/02/12 18:36:56 | 23   | 23   | 3212359.664    | 3050377.579   |
| 204101:3124 | 10/02/12 18:52:37 | 74   | 74   | 9784723.952    | 9467537.101   |
| 204113:3126 | 10/03/12 01:51:46 | 597  | 597  | 77765914.228   | 76176927.037  |
| 204114:3126 | 10/03/12 05:54:33 | 358  | 358  | 33920050.811   | 33497372.922  |
| 204238:3128 | 10/03/12 18:37:56 | 31   | 31   | 4465060.693    | 4347283.005   |
| 204250:3129 | 10/03/12 23:49:36 | 697  | 697  | 80743895.752   | 79424080.556  |
| 204511:3131 | 10/05/12 01:57:44 | 56   | 56   | 5916510.961    | 5860427.571   |
| 204541:3133 | 10/05/12 08:18:44 | 194  | 194  | 29365961.984   | 27872824.075  |
| 204544:3133 | 10/05/12 09:42:19 | 419  | 419  | 47798740.083   | 46891136.992  |
| 204552:3133 | 10/05/12 16:23:19 | 9    | 9    | 631608.518     | 577362.202    |
| 204553:3133 | 10/05/12 16:29:34 | 98   | 98   | 6683933.359    | 6592388.152   |
| 204554:3133 | 10/05/12 17:13:03 | 507  | 507  | 30310823.642   | 30023269.798  |
| 204555:3133 | 10/05/12 20:35:46 | 333  | 333  | 16789780.107   | 16702639.976  |
| 204563:3134 | 10/06/12 01:39:40 | 468  | 468  | 60257493.998   | 59001896.295  |
| 204564:3134 | 10/06/12 04:52:12 | 1261 | 1261 | 104343848.549  | 103225283.593 |
| 204565:3134 | 10/06/12 13:16:56 | 48   | 48   | 2889247.812    | 2839431.678   |
| 204566:3134 | 10/06/12 13:39:47 | 12   | 12   | 709061.188     | 663662.066    |
| 204567:3134 | 10/06/12 13:49:03 | 38   | 38   | 2210806.396    | 2195787.602   |
| 204576:3135 | 10/06/12 16:29:45 | 251  | 251  | 36128676.317   | 34193472.025  |
| 204577:3135 | 10/06/12 18:12:15 | 1265 | 1265 | 117188583.175  | 115946323.186 |
| 204599:3138 | 10/07/12 13:04:37 | 248  | 248  | 36478882.483   | 35475304.791  |
| 204601:3138 | 10/07/12 14:52:14 | 1223 | 1223 | 106369565.430  | 105243335.075 |
| 205086:3169 | 10/13/12 14:22:31 | 55   | 55   | 401750.460     | 390707.213    |
| 205111:3178 | 10/14/12 03:50:15 | 356  | 356  | 47844406.651   | 46891917.838  |
| 205158:3182 | 10/14/12 18:59:32 | 637  | 637  | 76079083.261   | 74723536.924  |
| 205193:3185 | 10/15/12 08:45:23 | 817  | 817  | 93206379.406   | 91815007.259  |
| 205217:3185 | 10/15/12 14:25:40 | 310  | 310  | 23928476.250   | 23738732.329  |
| 205233:3188 | 10/16/12 00:03:49 | 60   | 60   | 8796563.564    | 8458311.838   |
| 205236:3188 | 10/16/12 00:37:15 | 345  | 345  | 40484777.990   | 39727994.791  |
| 205238:3188 | 10/16/12 02:59:25 | 606  | 606  | 50467083.753   | 49886216.814  |
| 205303:3191 | 10/16/12 19:59:12 | 73   | 73   | 10288822.924   | 10076540.765  |
| 205310:3192 | 10/16/12 23:23:18 | 474  | 474  | 58912478.574   | 57834977.717  |
| 205311:3192 | 10/17/12 02:36:46 | 1249 | 1249 | 89695818.513   | 88843713.975  |
| 205339:3194 | 10/17/12 15:42:48 | 326  | 326  | 42175303.494   | 41352426.255  |
| 205344:3194 | 10/17/12 17:57:26 | 1576 | 1576 | 120904553.679  | 119722827.552 |
| 205515:3200 | 10/19/12 07:11:42 | 134  | 134  | 17793443.834   | 17229829.831  |
| 205519:3200 | 10/19/12 08:08:47 | 464  | 464  | 44334150.596   | 43703713.189  |
| 205526:3200 | 10/19/12 11:18:04 | 328  | 328  | 22441345.576   | 22238154.083  |
| 205614:3201 | 10/19/12 23:21:46 | 38   | 38   | 4082156.391    | 3942424.835   |
| 205617:3201 | 10/19/12 23:44:02 | 536  | 536  | 45169437.769   | 44637659.769  |
| 205618:3201 | 10/20/12 03:22:22 | 12   | 12   | 802447.686     | 758379.335    |
| 205620:3201 | 10/20/12 03:41:03 | 175  | 175  | 10545746.483   | 10476419.754  |
| 205666:3203 | 10/20/12 16:22:13 | 668  | 668  | 84735314.187   | 83020695.464  |
| 205667:3203 | 10/20/12 20:50:39 | 1095 | 1095 | 85349602.569   | 84591046.288  |
| 205683:3204 | 10/21/12 07:26:48 | 224  | 224  | 28864485.059   | 28152119.900  |
| 205690:3204 | 10/21/12 09:01:18 | 40   | 40   | 4408091.710    | 4312161.611   |
| 205694:3204 | 10/21/12 09:54:58 | 881  | 881  | 62460021.671   | 61906520.821  |
| 205718:3207 | 10/21/12 21:59:10 | 632  | 632  | 85849097.500   | 83739110.134  |
| 205774:3208 | 10/22/12 09:38:23 | 80   | 80   | 10879769.203   | 10678168.059  |
| 205777:3208 | 10/22/12 10:14:02 | 8    | 8    | 1053643.730    | 914467.632    |
| 205781:3208 | 10/22/12 10:26:53 | 499  | 499  | 54692606.292   | 53871477.606  |
| 205826:3209 | 10/22/12 21:23:54 | 385  | 385  | 51229686.621   | 50220004.303  |
| 205833:3210 | 10/23/12 02:37:11 | 264  | 264  | 38816002.877   | 37709318.920  |
| 205834:3210 | 10/23/12 04:28:36 | 194  | 194  | 23240941.795   | 22915123.522  |
| 205908:3212 | 10/23/12 14:24:18 | 141  | 141  | 20904819.929   | 20321242.505  |
| 205921:3214 | 10/23/12 23:42:10 | 811  | 811  | 91633032.107   | 89791563.847  |
| 206066:3220 | 10/25/12 12:00:38 | 58   | 58   | 8479659.003    | 8163450.157   |
| 206088:3223 | 10/25/12 18:53:59 | 196  | 196  | 28221041.369   | 27128708.925  |
| 206102:3226 | 10/26/12 05:19:39 | 254  | 254  | 35278764.652   | 34337622.600  |
| 206187:3229 | 10/26/12 23:38:19 | 588  | 588  | 78821360.537   | 76958084.916  |
| 206188:3229 | 10/27/12 03:37:16 | 54   | 54   | 5679087.529    | 5625168.310   |
| 206199:3231 | 10/27/12 11:45:03 | 111  | 111  | 14793958.614   | 14510488.898  |
| 206207:3232 | 10/27/12 14:51:34 | 598  | 598  | 77178960.660   | 75886862.668  |
| 206208:3232 | 10/27/12 18:53:12 | 517  | 517  | 46377923.252   | 45951464.336  |
| 206210:3232 | 10/27/12 22:32:45 | 450  | 450  | 30964579.241   | 30684737.238  |
| 206243:3236 | 10/28/12 16:09:51 | 829  | 829  | 100790696.364  | 98738357.932  |
| 206245:3236 | 10/28/12 21:51:24 | 62   | 62   | 5403311.412    | 5279595.522   |
| 206246:3236 | 10/28/12 22:21:57 | 1272 | 1272 | 80460799.758   | 79786540.599  |
| 206257:3236 | 10/29/12 08:11:30 | 29   | 29   | 1220533.767    | 1176024.329   |
| 206258:3236 | 10/29/12 08:27:44 | 245  | 245  | 9403346.125    | 9317741.287   |
| 206302:3238 | 10/29/12 21:18:22 | 262  | 262  | 33788881.375   | 33206072.189  |
| 206303:3238 | 10/29/12 23:12:05 | 283  | 283  | 29745618.279   | 29315316.305  |
| 206304:3238 | 10/30/12 01:08:29 | 61   | 61   | 5722341.414    | 5675939.401   |
| 206331:3240 | 10/30/12 10:40:28 | 220  | 220  | 32312318.031   | 31708114.604  |
| 206389:3242 | 10/30/12 17:38:28 | 300  | 300  | 42270690.098   | 41092698.478  |
| 206391:3242 | 10/30/12 21:29:26 | 90   | 90   | 8911921.086    | 8836348.399   |
| 206401:3244 | 10/31/12 02:14:40 | 335  | 335  | 48935843.110   | 47736974.907  |
| 206446:3249 | 10/31/12 19:43:28 | 1004 | 1004 | 115112022.200  | 112969012.056 |
| 206448:3249 | 11/01/12 02:37:21 | 1230 | 1230 | 78680912.285   | 77887762.435  |
| 206466:3250 | 11/01/12 13:57:21 | 638  | 638  | 81220127.858   | 79542598.599  |
| 206476:3252 | 11/02/12 00:48:30 | 141  | 141  | 21776275.818   | 20538879.871  |
| 206477:3252 | 11/02/12 01:49:20 | 171  | 171  | 22611529.852   | 21820977.691  |
| 206478:3252 | 11/02/12 03:03:32 | 141  | 141  | 16374824.420   | 16200593.807  |
| 206484:3253 | 11/02/12 06:46:41 | 583  | 583  | 76185175.508   | 74715855.061  |
| 206512:3259 | 11/02/12 21:40:52 | 1103 | 1103 | 116183379.203  | 114405706.296 |
| 206513:3259 | 11/03/12 04:59:39 | 313  | 313  | 22327152.307   | 22175455.204  |
| 206542:3261 | 11/03/12 17:32:08 | 819  | 819  | 97580217.882   | 95628824.077  |
| 206550:3262 | 11/04/12 02:00:33 | 66   | 66   | 9833881.326    | 9439387.102   |
| 206572:3264 | 11/04/12 10:54:54 | 11   | 11   | 1764777.563    | 1380021.657   |
| 206573:3264 | 11/04/12 11:07:43 | 13   | 13   | 1990005.707    | 1805882.529   |
| 206574:3264 | 11/04/12 11:18:31 | 87   | 87   | 12119498.967   | 11855725.289  |
| 206575:3264 | 11/04/12 11:58:57 | 66   | 66   | 8284874.634    | 8125279.702   |
| 206594:3265 | 11/04/12 23:32:45 | 206  | 206  | 30031005.455   | 29171317.798  |
| 206595:3265 | 11/05/12 01:00:04 | 189  | 189  | 23025920.096   | 22757177.523  |
| 206596:3265 | 11/05/12 02:38:52 | 800  | 800  | 70713721.063   | 69997817.933  |
| 206598:3265 | 11/05/12 07:56:10 | 714  | 714  | 43282557.298   | 42966508.384  |
| 206605:3265 | 11/05/12 12:37:49 | 76   | 76   | 3801106.455    | 3779792.105   |
| 206744:3266 | 11/05/12 20:17:38 | 398  | 398  | 50683080.242   | 49756506.122  |
| 206745:3266 | 11/05/12 23:09:11 | 1850 | 1850 | 132352956.638  | 131253353.948 |
| 206859:3269 | 11/07/12 11:43:33 | 754  | 754  | 96739304.841   | 95028608.506  |
| 206866:3269 | 11/07/12 16:48:02 | 271  | 271  | 25446983.084   | 25214388.938  |
| 206868:3269 | 11/07/12 19:04:43 | 10   | 10   | 844693.334     | 803742.612    |
| 206869:3269 | 11/07/12 19:14:32 | 743  | 743  | 52370960.542   | 51964895.227  |
| 206897:3272 | 11/08/12 11:53:03 | 124  | 124  | 18574333.249   | 17164814.213  |
| 206901:3272 | 11/08/12 12:48:56 | 98   | 98   | 13098765.001   | 12873174.835  |
| 206906:3272 | 11/08/12 13:35:05 | 194  | 194  | 22945121.612   | 21678710.214  |
| 206940:3273 | 11/09/12 02:05:52 | 1017 | 1017 | 98117713.901   | 96893927.481  |
| 207099:3279 | 11/11/12 18:52:02 | 1070 | 1070 | 121104627.307  | 119322067.734 |
| 207100:3279 | 11/12/12 01:58:52 | 92   | 92   | 7321256.583    | 7249840.122   |
| 207214:3285 | 11/13/12 11:57:00 | 745  | 745  | 90128145.953   | 88699150.739  |
| 207217:3285 | 11/13/12 17:16:26 | 32   | 32   | 2940895.762    | 2904206.480   |
| 207219:3285 | 11/13/12 17:31:07 | 112  | 112  | 9912352.852    | 9733584.308   |
| 207220:3285 | 11/13/12 18:18:46 | 160  | 160  | 13226110.291   | 13029375.835  |
| 207221:3285 | 11/13/12 19:28:37 | 102  | 102  | 7833978.116    | 7715887.741   |
| 207222:3285 | 11/13/12 20:12:04 | 287  | 287  | 20041746.199   | 19860912.091  |
| 207231:3286 | 11/14/12 01:32:53 | 1405 | 1405 | 149638435.983  | 145365707.498 |
| 207233:3286 | 11/14/12 10:54:35 | 147  | 147  | 9832818.406    | 9750907.376   |
| 207269:3287 | 11/14/12 17:32:38 | 476  | 476  | 58733790.685   | 57675886.870  |
| 207273:3287 | 11/14/12 20:49:38 | 875  | 875  | 74695367.418   | 74075693.040  |
| 207279:3288 | 11/15/12 04:58:34 | 997  | 997  | 108077614.528  | 106549864.300 |
| 207320:3288 | 11/15/12 14:27:44 | 349  | 349  | 21739682.254   | 21550270.974  |
| 207371:3292 | 11/16/12 03:17:11 | 51   | 51   | 7332631.990    | 7115270.284   |
| 207372:3292 | 11/16/12 03:43:08 | 489  | 489  | 57794910.399   | 56658851.767  |
| 207397:3293 | 11/16/12 09:28:31 | 144  | 144  | 21319257.830   | 20774815.025  |
| 207398:3293 | 11/16/12 10:31:31 | 32   | 32   | 4184862.027    | 4121648.789   |
| 207454:3296 | 11/17/12 06:24:43 | 1880 | 1880 | 176958715.158  | 174738306.849 |
| 207469:3297 | 11/17/12 21:45:50 | 43   | 43   | 6914185.693    | 6721609.396   |
| 207477:3298 | 11/18/12 00:29:01 | 480  | 480  | 67088149.407   | 65660633.044  |
| 207487:3299 | 11/18/12 08:54:30 | 415  | 415  | 57941479.523   | 56694833.679  |
| 207488:3299 | 11/18/12 11:43:15 | 427  | 427  | 44477618.931   | 43971542.390  |
| 207490:3299 | 11/18/12 14:37:32 | 109  | 109  | 9825945.531    | 9680205.317   |
| 207491:3299 | 11/18/12 15:36:18 | 456  | 456  | 34761999.243   | 34474806.564  |
| 207492:3299 | 11/18/12 18:38:39 | 296  | 296  | 18699863.866   | 18529383.124  |
| 207515:3300 | 11/19/12 03:39:31 | 1113 | 1113 | 131939095.380  | 129648465.904 |
| 207517:3300 | 11/19/12 11:03:05 | 55   | 55   | 4534016.789    | 4496095.706   |
| 207518:3300 | 11/19/12 11:31:08 | 82   | 82   | 6469551.739    | 6419199.079   |
| 207882:3318 | 11/24/12 07:52:19 | 24   | 24   | 3463973.231    | 3220040.281   |
| 207883:3318 | 11/24/12 08:06:02 | 72   | 72   | 9972274.735    | 9252584.363   |
| 207884:3318 | 11/24/12 08:37:03 | 182  | 182  | 22847957.561   | 22230528.860  |
| 207885:3318 | 11/24/12 10:02:45 | 90   | 90   | 9873508.011    | 9359556.529   |
| 207886:3318 | 11/24/12 10:39:42 | 167  | 167  | 16864412.847   | 16401569.759  |
| 207889:3318 | 11/24/12 12:12:21 | 931  | 931  | 68483045.557   | 67722420.492  |
| 207898:3319 | 11/24/12 21:53:33 | 268  | 268  | 34736809.823   | 33998370.942  |
| 207905:3322 | 11/25/12 02:54:37 | 1700 | 1700 | 165204220.809  | 162715757.546 |
| 207920:3323 | 11/25/12 17:22:43 | 731  | 731  | 90383712.057   | 88778108.874  |
| 207921:3323 | 11/25/12 22:13:52 | 56   | 56   | 5401928.290    | 5330022.886   |
| 207922:3323 | 11/25/12 23:10:31 | 255  | 255  | 21859986.009   | 21538960.440  |
| 207924:3323 | 11/26/12 01:05:37 | 335  | 335  | 24526565.777   | 24291983.875  |
| 208307:3347 | 11/30/12 01:29:18 | 1291 | 1291 | 124259799.279  | 122791600.936 |
| 208339:3350 | 11/30/12 17:11:29 | 280  | 280  | 37371200.928   | 36420540.252  |
| 208341:3350 | 11/30/12 19:27:53 | 815  | 815  | 74570387.166   | 73292153.103  |
| 208351:3351 | 12/01/12 06:13:48 | 282  | 282  | 38889332.874   | 37755250.691  |
| 208352:3351 | 12/01/12 08:09:15 | 17   | 17   | 2023842.612    | 1773411.578   |
| 208353:3351 | 12/01/12 08:19:43 | 346  | 346  | 36026773.457   | 35503440.275  |
| 208357:3351 | 12/01/12 10:41:33 | 505  | 505  | 40626719.219   | 40251780.607  |
| 208390:3360 | 12/02/12 01:56:26 | 97   | 97   | 15227828.236   | 14842734.336  |
| 208391:3360 | 12/02/12 03:21:44 | 805  | 805  | 83295711.185   | 82388970.863  |
| 208427:3363 | 12/02/12 21:28:50 | 580  | 580  | 73628663.790   | 72124600.632  |
| 208428:3363 | 12/03/12 01:25:54 | 222  | 222  | 21524081.451   | 21035865.760  |
| 208429:3363 | 12/03/12 02:59:14 | 908  | 908  | 66121692.327   | 65576022.289  |
| 208487:3370 | 12/04/12 03:30:31 | 612  | 612  | 75271225.750   | 73979826.173  |
| 208509:3372 | 12/04/12 11:01:42 | 162  | 162  | 1137749.034    | 1126877.496   |
| 208538:3374 | 12/04/12 16:44:22 | 42   | 42   | 6652973.400    | 6266740.466   |
| 208540:3374 | 12/04/12 17:04:54 | 96   | 96   | 13935030.379   | 13368649.080  |
| 208541:3374 | 12/04/12 17:44:39 | 410  | 410  | 47136824.992   | 46426263.935  |
| 208551:3375 | 12/05/12 05:20:21 | 454  | 454  | 58622269.323   | 57254566.341  |
