#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 193998:2616 | 05/11/12 10:06:42 | 212  | 212  | 19477070.520   | 19189381.431  |
| 193999:2616 | 05/11/12 11:39:22 | 45   | 45   | 3643462.980    | 3610800.877   |
| 194027:2617 | 05/11/12 19:23:58 | 57   | 57   | 5205945.997    | 5142813.112   |
| 194050:2621 | 05/12/12 04:50:00 | 1801 | 1801 | 112062406.043  | 110386554.314 |
| 194051:2621 | 05/12/12 16:49:13 | 12   | 12   | 500671.306     | 489259.080    |
| 194052:2621 | 05/12/12 16:58:27 | 164  | 164  | 6637562.836    | 6582797.356   |
| 194075:2623 | 05/13/12 00:28:32 | 60   | 60   | 5625016.105    | 4910632.916   |
| 194076:2623 | 05/13/12 00:57:23 | 734  | 734  | 54603809.579   | 54116814.498  |
| 194108:2624 | 05/13/12 14:55:42 | 778  | 778  | 62453528.281   | 61660228.644  |
| 194115:2627 | 05/13/12 23:30:08 | 700  | 700  | 55060400.682   | 53349554.194  |
| 194117:2627 | 05/14/12 04:46:14 | 38   | 38   | 2316910.700    | 2276911.526   |
| 194119:2627 | 05/14/12 05:06:15 | 259  | 259  | 14799866.627   | 14694458.272  |
| 194120:2627 | 05/14/12 06:53:41 | 404  | 404  | 19396243.117   | 19263158.581  |
| 194150:2628 | 05/14/12 18:19:39 | 267  | 267  | 27078368.583   | 26674211.714  |
| 194151:2628 | 05/14/12 21:32:50 | 570  | 570  | 41335611.898   | 40789656.969  |
| 194153:2628 | 05/15/12 01:22:35 | 115  | 115  | 7075680.053    | 6994695.797   |
| 194199:2629 | 05/15/12 10:32:52 | 304  | 304  | 27242306.907   | 26920959.378  |
| 194210:2629 | 05/15/12 12:42:01 | 548  | 548  | 39252302.949   | 38926377.765  |
| 194223:2630 | 05/15/12 18:57:21 | 52   | 52   | 6452378.046    | 6160077.204   |
| 194224:2630 | 05/15/12 19:23:01 | 403  | 403  | 42863478.497   | 42186224.912  |
| 194225:2630 | 05/15/12 22:08:13 | 144  | 144  | 12869454.591   | 12740510.374  |
| 194270:2632 | 05/16/12 16:57:57 | 13   | 13   | 1451083.482    | 1428558.087   |
| 194303:2634 | 05/16/12 23:18:49 | 45   | 45   | 5275851.487    | 5054835.680   |
| 194304:2634 | 05/16/12 23:40:48 | 44   | 44   | 4938264.784    | 4798634.271   |
| 194305:2634 | 05/17/12 00:05:25 | 84   | 84   | 8765630.149    | 8578434.050   |
| 194314:2635 | 05/17/12 02:50:05 | 247  | 247  | 28731434.974   | 28129742.660  |
| 194315:2635 | 05/17/12 04:35:43 | 459  | 459  | 42207525.108   | 41675933.851  |
| 194317:2635 | 05/17/12 07:49:32 | 20   | 20   | 1542827.184    | 1465933.771   |
| 194424:2644 | 05/18/12 09:57:28 | 632  | 632  | 67918076.159   | 66678637.804  |
| 194428:2644 | 05/18/12 14:20:51 | 461  | 461  | 36326202.229   | 35991673.880  |
| 194429:2644 | 05/18/12 18:03:28 | 1009 | 1009 | 56618557.037   | 56209955.563  |
| 194439:2645 | 05/19/12 06:24:56 | 60   | 60   | 8126510.165    | 7776807.867   |
